gateId	measurementPath	measurementSha256	validatorPath	validatorSha256	outputPresent	outputValid	inputHashesFresh	failedChecks	N1Count	N2Count	unknownCount	openCount	partialCount	notMeasuredCount	statusClaimed	statusRecomputed	agreement	reason
GATE-00	measurements/gate00_measurement.json	fc31ee4e8fc9f34c7cc3b978392324ae0403a0af4d79cb5c8606aeafb358d7d3	validators/agent_transition_inventory.mjs	ddf944d5aa33f31f734e61892a17080b2f9cb03fe6162a847b3a3a59dd0ea7e5	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	Bundle hashes are current and the fresh transition Git measurement matches the protected baseline.
GATE-01	measurements/gate01_final_reproduction_measurement.json	989c2b554bfab2d52e37aaa995fe0f05bcdd901ed1527e60f6a38bb586b6749c	validators/gate01_finalize.mjs	2720b82668a7e5e3f30477e8de7b1171cfb7482c95fcdec93e982d4c1dca3347	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	All 19 findings remain reproduced after independently superseding UAR-N1-003 and UAR-N1-019 with their fresh reaudits; reproduction is not correction or closure.
GATE-02	measurements/gate02_final_measurement.json	f9e7d58871278c1ffb14276749b2884b571d9276509af45d21d75e7fe6bd9ce3	validators/finalize_gate02_v3.mjs	6a2dba2ae98e8521883fb82c74a63024252df00c5ba29549118a09b01bae10cc	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	All mechanically enumerated A-Q candidates are classified; all 8 authority conflicts are RESOLVED; no deferred, open, unknown, invalid, or conflicting owner authority remains.
GATE-03	measurements/gate03_final_measurement.json	b78f04a39ea35eb48ee7fef0faace993524a5b00785c687a42972153c01e78f2	validators/f1_crosscheck_v2.mjs	29f059e59bb0d4ed2e68f737457b783d29244fd525a9236a5a72e573a3420b21	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	Authority-only K6 validation and 88 fresh A/B/C cases prove contract-valid sensitivity/invariance for every testable field; six unique fields are justified NO_SECOND_VALID_VALUE.
GATE-04	measurements/gate04_revalidation_after_gate08.json	168ebd01db3417001ddead86296a1ac91a8e2bc5cdf1e186d76d6e50dc18960a	validators/gate08_finalize.mjs	abbec9c52efe1615f120116d67b3e7a5297033378b880db92e534d47ed3ec8bb	true	true	true	0	0	0	0	1	1	10	PARTIAL	PARTIAL	true	D01/K6/F1 integrity remains valid; only Gate11/Gate14 links remain.
GATE-05	measurements/gate05_revalidation_after_gate06_repair.json	599332f039d2573c740d6bcd771589d2835bef37556c8ae00525ef84f4e70da8	validators/gate06_repair_gate05_d01_revalidation.mjs	caaa8bc63e3fa12b5fc40855a359d713e2ddb6c2c635a719be15ec3aed556db6	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	All 64 validated XML documents are byte-identical after the Gate06 expectation repair.
GATE-06	measurements/gate06_repair_measurement.json	d8eca91d6390bf098fa3edc84efda001f1835ade9551410bbac058d426038e72	validators/gate06_repair_finalize.mjs	0d82f2de229ca9695c296da5a20206761a63fab31ed4275ac953daf858e24c32	true	true	true	0	0	0	0	0	0	0	COMPLETE	COMPLETE	true	Repaired expectation authority, 13 primary runs, 14 countertests, 6 replays, 148 independent checks, and 32 crosschecks are complete.
GATE-07	measurements/gate07_measurement.json	410321e4859b66ba8ccc5be9434dd4efa4f36c8661f60b9e7a2b6cc00ca5430b	validators/gate07_finalize.mjs	58529be246202973b6294b56e49af4084a574493e42a1e1ec2e9eb4cda617f2a	true	true	true	1	1	0	1	1	1	4	PARTIAL	PARTIAL	true	Unchanged from V6: the ten planned production modules remain absent, so no final TransformImplementationManifest/2 can be built. Not re-executed this turn.
GATE-08	measurements/gate08_measurement.json	900893ef34552da9b5a7b48b21ce47cbabca79b4b9d16b4c0d1bed3d52dccd81	validators/gate08_finalize.mjs	abbec9c52efe1615f120116d67b3e7a5297033378b880db92e534d47ed3ec8bb	true	true	true	17	17	0	89	17	1	8	PARTIAL	PARTIAL	true	Unchanged from V6: blocked by GATE-07; no active object graph exists and none was fabricated. Not re-executed this turn.
GATE-09	measurements/gate09_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-10	measurements/gate10_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-11	measurements/gate11_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-12	measurements/gate12_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-13	measurements/gate13_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-14	measurements/gate14_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-15	measurements/gate15_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-16	measurements/gate16_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-17	measurements/gate17_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-18	measurements/gate18_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-19	measurements/gate19_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
GATE-20	measurements/gate20_measurement.json				false	false	NOT_MEASURED	0	0	0	0	0	0	0	NOT_STARTED	NOT_STARTED	true	No gate measurement output exists.
